count,from,to,timeframe,start,end
208,beritajatimcom,khofifahip,84,2021-06-13 01:41:10,2021-06-20 11:53:31
209,beritajatimcom,pemkot_solo,85,2021-06-13 01:43:10,2021-06-20 11:53:31
210,beritajatimcom,dpr_ri,85,2021-06-13 01:43:10,2021-06-20 11:53:31
211,wagimandeep212_,airlangga_hrt,86,2021-06-13 02:00:04,2021-06-20 11:53:31
212,rriprograma3,rri,87,2021-06-13 02:10:00,2021-06-20 11:53:31
213,sidaknews,sidaknews,88,2021-06-13 02:12:49,2021-06-20 11:53:31
214,dwiattatrick,sidaknews,89,2021-06-13 02:15:39,2021-06-20 11:53:31
215,makmurjohor01,jkjavmy,90,2021-06-13 02:23:07,2021-06-20 11:53:31
216,makmurjohor01,jkjavmy,91,2021-06-13 02:24:12,2021-06-20 11:53:31
217,doddyjasman2,kodam5brw,92,2021-06-13 02:31:23,2021-06-20 11:53:31
218,tangerangnews,tangerangnews,93,2021-06-13 02:44:46,2021-06-20 11:53:31
219,edwina_wyn,tiket,94,2021-06-13 02:51:49,2021-06-20 11:53:31
220,tribunjogja,tribunjogja,95,2021-06-13 02:58:54,2021-06-20 11:53:31
221,covidhub_jatim,inova_medika,96,2021-06-13 03:00:00,2021-06-20 11:53:31
222,mat4g13,jkjavmy,97,2021-06-13 03:04:30,2021-06-20 11:53:31
223,mat4g13,jkjavmy,98,2021-06-13 03:04:32,2021-06-20 11:53:31
224,indopolitika,indopolitika,99,2021-06-13 03:08:09,2021-06-20 11:53:31
225,tarungnews2,pemkotdepok,100,2021-06-13 03:09:03,2021-06-20 11:53:31
226,tarungnews2,kemkominfo,100,2021-06-13 03:09:03,2021-06-20 11:53:31
227,tarungnews2,pemprovjabar,100,2021-06-13 03:09:03,2021-06-20 11:53:31
228,tarungnews2,kemenkesri,100,2021-06-13 03:09:03,2021-06-20 11:53:31
229,tarungnews2,humasjabar,100,2021-06-13 03:09:03,2021-06-20 11:53:31
230,tarungnews2,setkabgoid,100,2021-06-13 03:09:03,2021-06-20 11:53:31
231,farder11,tribunnews,101,2021-06-13 03:24:42,2021-06-20 11:53:31
232,hms_poldabanten,infoserang,102,2021-06-13 03:34:32,2021-06-20 11:53:31
233,hms_poldabanten,humasresserang,102,2021-06-13 03:34:32,2021-06-20 11:53:31
234,hms_poldabanten,humaspolrestat1,102,2021-06-13 03:34:32,2021-06-20 11:53:31
235,hms_poldabanten,info_cilegon,102,2021-06-13 03:34:32,2021-06-20 11:53:31
236,hms_poldabanten,resserangkota,102,2021-06-13 03:34:32,2021-06-20 11:53:31
237,hms_poldabanten,divhumas_polri,102,2021-06-13 03:34:32,2021-06-20 11:53:31
238,hms_poldabanten,polres_cilegon,102,2021-06-13 03:34:32,2021-06-20 11:53:31
239,hms_poldabanten,lebak_polres,102,2021-06-13 03:34:32,2021-06-20 11:53:31
240,hms_poldabanten,infolebakbanten,102,2021-06-13 03:34:32,2021-06-20 11:53:31
241,tenerifetommy,azamisayang,103,2021-06-13 03:37:43,2021-06-20 11:53:31
242,tenerifetommy,japenselangor1,103,2021-06-13 03:37:43,2021-06-20 11:53:31
243,tenerifetommy,zairinzin,104,2021-06-13 03:37:44,2021-06-20 11:53:31
244,tenerifetommy,japenselangor1,104,2021-06-13 03:37:44,2021-06-20 11:53:31
245,beritaedisi,kemenhub151,105,2021-06-13 03:38:46,2021-06-20 11:53:31
246,beritaedisi,djplkemenhub151,105,2021-06-13 03:38:46,2021-06-20 11:53:31
247,hms_poldabanten,divhumas_polri,106,2021-06-13 03:39:28,2021-06-20 11:53:31
248,hms_poldabanten,polres_cilegon,106,2021-06-13 03:39:28,2021-06-20 11:53:31
249,hms_poldabanten,kabar_banten,106,2021-06-13 03:39:28,2021-06-20 11:53:31
250,hms_poldabanten,lebak_polres,106,2021-06-13 03:39:28,2021-06-20 11:53:31
251,hms_poldabanten,infolebakbanten,106,2021-06-13 03:39:28,2021-06-20 11:53:31
252,hms_poldabanten,infoserang,106,2021-06-13 03:39:28,2021-06-20 11:53:31
253,hms_poldabanten,humasresserang,106,2021-06-13 03:39:28,2021-06-20 11:53:31
254,hms_poldabanten,infopandeglang,106,2021-06-13 03:39:28,2021-06-20 11:53:31
255,hms_poldabanten,infotangerang,106,2021-06-13 03:39:28,2021-06-20 11:53:31
256,hms_poldabanten,humaspolrestat1,106,2021-06-13 03:39:28,2021-06-20 11:53:31
257,hms_poldabanten,info_cilegon,106,2021-06-13 03:39:28,2021-06-20 11:53:31
258,hms_poldabanten,resserangkota,106,2021-06-13 03:39:28,2021-06-20 11:53:31
259,humasmenteng,poldametrojaya,107,2021-06-13 03:43:49,2021-06-20 11:53:31
260,humasmenteng,polresjakpus,107,2021-06-13 03:43:49,2021-06-20 11:53:31
261,hjknsabah,khairykj,108,2021-06-13 04:08:34,2021-06-20 11:53:31
262,hjknsabah,kkmputrajaya,108,2021-06-13 04:08:34,2021-06-20 11:53:31
263,hjknsabah,my_sejahtera,108,2021-06-13 04:08:34,2021-06-20 11:53:31
264,hjknsabah,boboiboy,108,2021-06-13 04:08:34,2021-06-20 11:53:31
265,hjknsabah,dghisham,108,2021-06-13 04:08:34,2021-06-20 11:53:31
266,hjknsabah,dradhambaba,108,2021-06-13 04:08:34,2021-06-20 11:53:31
267,hjknsabah,boboiboy,109,2021-06-13 04:17:05,2021-06-20 11:53:31
268,hjknsabah,dghisham,109,2021-06-13 04:17:05,2021-06-20 11:53:31
269,hjknsabah,dradhambaba,109,2021-06-13 04:17:05,2021-06-20 11:53:31
270,hjknsabah,khairykj,109,2021-06-13 04:17:05,2021-06-20 11:53:31
271,hjknsabah,kkmputrajaya,109,2021-06-13 04:17:05,2021-06-20 11:53:31
272,hjknsabah,my_sejahtera,109,2021-06-13 04:17:05,2021-06-20 11:53:31
273,mimi_chimmy,jokowi,110,2021-06-13 04:20:07,2021-06-20 11:53:31
274,hafiz_seth,jkjavmy,111,2021-06-13 04:46:41,2021-06-20 11:53:31
275,sv_volunteers,onnhafiz,112,2021-06-13 05:07:29,2021-06-20 11:53:31
